Salary,Educ,Race,Gender,Region,Married,Years,Age,Job
13.21946683,16,Non-White,M,South,Married,13,35,Doctor
7.25,13,Non-White,F,South,Married,30,49,Engineer
5.13,12,Non-White,F,South,Married,4,22,Engineer
4.17,14,Non-White,F,South,Single,24,44,Teacher
4.8,12,Non-White,F,South,Married,16,34,Driver
14.67,14,Non-White,M,South,Married,16,36,Teacher
17.38,16,Non-White,M,South,Married,33,55,Doctor
13.45,16,Non-White,M,South,Single,8,30,Sales
9.57,12,Non-White,F,South,Married,5,23,Teacher
12.65,17,Non-White,F,South,Married,13,36,Sales
17,18,White,M,North,Married,12,36,Doctor
8.93,12,White,F,North,Married,18,36,Driver
8.99,12,White,F,North,Single,15,33,Teacher
9.83,12,White,M,North,Married,23,41,Driver
15.7193476,17,White,M,North,Single,3,26,Doctor
15.7193476,17,White,F,North,Single,5,28,Doctor
7.71,18,White,M,North,Married,3,27,Doctor
8.7,13,White,F,North,Single,8,27,Engineer
3.6,12,White,F,South,Married,43,61,Teacher
4.5,12,White,F,North,Single,3,21,Driver
5.77,16,White,M,North,Single,3,25,Teacher
7,12,White,M,North,Married,5,23,Teacher
13.21946683,18,White,M,North,Married,14,38,Sales
6.25,14,White,M,North,Single,2,22,Sales
9,10,White,M,North,Married,27,48,Sales
9,12,White,M,North,Married,16,34,Teacher
9,12,White,F,South,Married,14,32,Engineer
6.88,8,White,F,North,Married,22,41,Driver
10,12,Non-White,M,North,Single,22,40,Driver
4.35,16,Non-White,M,North,Single,3,25,Engineer
3.65,11,Non-White,M,North,Single,16,38,Driver
7.4,16,Non-White,F,North,Married,10,32,Doctor
12.61,15,Non-White,F,North,Single,33,54,Doctor
15,16,Non-White,M,North,Married,26,48,Sales
6.5,11,Non-White,F,North,Married,24,46,Engineer
12,16,Non-White,F,North,Married,10,32,Doctor
3.5,9,Non-White,M,North,Married,47,67,Teacher
7,12,Non-White,M,North,Married,7,25,Driver
11.25,12,Non-White,F,South,Married,30,48,Sales
3.35,14,Non-White,M,North,Single,0,25,Teacher
5.83,13,Non-White,M,North,Single,3,22,Teacher
19.98,14,White,M,South,Married,44,64,Teacher
4.55,12,White,F,South,Single,4,22,Sales
4.5,12,White,M,South,Single,16,34,Driver
10,14,Non-White,M,South,Single,22,42,Sales
11.5,17,White,F,South,Married,14,37,Doctor
20.32269772,18,White,F,South,Single,37,61,Doctor
3,13,White,F,South,Married,30,60,Driver
19,18,White,M,North,Single,13,37,Sales
7.5,12,White,F,North,Single,10,28,Teacher
13.21946683,18,White,F,North,Married,19,43,Sales
4.5,12,White,M,North,Married,35,53,Engineer
4.28,12,White,F,North,Married,38,56,Teacher
6.62,13,White,F,North,Married,2,21,Engineer
13.75,14,White,M,North,Married,21,41,Teacher
11.11,12,White,M,South,Married,28,46,Teacher
6,12,White,M,North,Married,9,27,Driver
15,12,White,M,North,Married,42,60,Sales
7.5,14,White,M,North,Single,2,22,Teacher
13.79,16,White,F,North,Single,6,28,Doctor
9.5,12,White,F,North,Single,25,43,Engineer
11.5,12,White,F,North,Married,29,47,Engineer
8.88,16,Non-White,M,North,Married,17,39,Engineer
4,12,White,M,North,Single,4,22,Driver
12.2,14,White,M,South,Married,10,30,Driver
9.25,12,White,M,North,Single,19,37,Driver
13.22,18,White,M,North,Married,19,43,Doctor
11.32,13,White,F,South,Single,28,47,Engineer
12,14,White,M,North,Married,22,42,Doctor
15,14,White,M,North,Single,22,42,Teacher
6.62,14,White,F,North,Married,32,52,Engineer
7,12,White,M,North,Single,4,22,Doctor
6.73,12,White,M,South,Married,2,20,Driver
9.63,14,White,M,South,Married,22,42,Teacher
6.1,10,White,F,South,Single,44,65,Driver
9,12,White,F,South,Single,9,27,Engineer
5,12,White,F,South,Married,14,32,Teacher
3.75,10,White,M,South,Single,15,45,Teacher
13.95,18,White,F,South,Married,14,38,Sales
4.17,12,Non-White,F,South,Single,27,45,Teacher
10.65,12,Non-White,F,South,Single,38,56,Engineer
11.81,12,Non-White,F,South,Single,40,58,Engineer
8,11,Non-White,F,South,Single,16,38,Engineer
10,12,Non-White,M,South,Single,20,38,Teacher
6.28,12,Non-White,F,South,Single,38,56,Driver
5.55,11,Non-White,F,South,Single,45,67,Teacher
6.25,12,Non-White,F,South,Single,6,24,Driver
5.5,11,Non-White,M,South,Single,18,40,Driver
11.37,17,Non-White,M,North,Single,7,30,Doctor
14,17,Non-White,F,North,Married,24,47,Doctor
19.98,12,Non-White,M,North,Married,23,41,Driver
13.21946683,14,Non-White,M,South,Married,15,35,Doctor
13.21946683,17,Non-White,M,North,Married,18,41,Doctor
8.75,12,Non-White,M,North,Single,9,27,Driver
15,12,Non-White,M,North,Married,40,58,Sales
10.17,12,Non-White,F,North,Married,44,62,Engineer
9,16,Non-White,F,North,Married,6,28,Teacher
16.03,12,Non-White,F,North,Married,24,42,Engineer
11.84,12,Non-White,M,South,Married,26,44,Sales
14.29,14,Non-White,F,South,Married,32,52,Teacher
10,16,Non-White,F,South,Married,27,49,Engineer
3.75,12,Non-White,F,South,Single,41,59,Teacher
13.5,15,Non-White,F,South,Married,6,27,Engineer
10,12,Non-White,M,South,Married,11,29,Driver
18,12,Non-White,M,South,Married,12,30,Doctor
13.21946683,16,Non-White,F,South,Married,11,33,Doctor
4,12,Non-White,M,South,Single,6,24,Driver
13.21946683,16,Non-White,M,South,Married,17,39,Doctor
7.75,12,Non-White,M,South,Single,22,40,Engineer
5,12,Non-White,F,North,Married,28,46,Driver
3.8,12,Non-White,F,North,Single,16,34,Teacher
8,12,Non-White,F,North,Married,10,28,Engineer
13.98,14,Non-White,M,North,Single,14,34,Driver
3.95,12,Non-White,F,South,Married,9,27,Teacher
